আপনাকে ধন্যবাদ, Thank you
আপনার নাম কী?, What is your name?
আপনি কী করেন?, What do you do?
আপনি কেমন আছেন?, How are you?
আমি জানি না, I don't know
আমি ভালো আছি, I am good
আস্তে চালাও, Drive slowly
এই জায়গাটা কোথায়?, Where is this place?
একটু সাহায্য করতে পারবেন?, Can you help me?
এটা খেতে খুবই ভালো, It is delicious
এটার দাম কত?, How much does it cost?
কাল দেখা হবে, See you tomorrow
কিভাবে সাহায্য করতে পারি?, How can I help you?
কেমন চলছে?, How is it going?
কোথায় আছো?, Where are you?
বুঝতে পারি নি, I didn't understand
ভ্রমনটা কেমন ছিল?, How was the journey?
মাফ করবেন, Excuse me
সুন্দর জায়গা, Nice place
সে একজন খেলোয়াড়, He is a player
